"মোসাদ এক্সোডাস","গ্যাড সিমরন","","TK. 250","TK. 188"
﻿"বিপন্ন এক মানুষজন্মে","মোবারক খান হৃদয়","","TK. 135","TK. 95"
﻿"মহাজাগতিক সময় ","সায়মন হোসাইন রাউল","","TK. 120","TK. 90"
﻿"প্রাচ্য ও পাশ্চাত্য দর্শনের ইতিহাস (প্রথম খণ্ড: ২য় ভাগ)","হুমায়ুন কবির","","TK. 600","TK. 450"
﻿"ডেঙ্গু প্রতিরোধ প্রতিকার টিপস","ডা. সানি আমির","","TK. 180","TK. 135"
﻿"তারায় তারায় যুদ্ধ-সায়েন্স ফিকশন","আইজ্যাক আসিমভ","","TK. 400","TK. 300"
﻿"ইংল্যান্ডের রূপকথা","আখতার হুসেন","","TK. 150","TK. 113"
﻿"সাবটেরেনিয়ান","জেমস রোলিন্স","","TK. 420","TK. 294"
﻿"অন্তরীক্ষের শত রঙ","শারমিন রহমান","","TK. 200","TK. 150"
﻿"মেনকি ফান্দার অপরাধ কিংবা পাপ","সাদিয়া সুলতানা	","","TK. 250","TK. 188"
﻿"লোশক"," সালেহ আহমেদ মুবিন","","TK. 150","TK. 113"
﻿"কিশোর মুসা রবিন: হান্টিং লজের রহস্য","রকিব হাসান","","TK. 200","TK. 150"
﻿"প্যারেন্টিং","নিয়াজ আহমেদ","","TK. 200","TK. 150"
﻿"জোকস ২০২০","আনোয়ারুল আলম সজল","","TK. 200","TK. 150"
﻿"ক্রুসেড : খ্রিষ্টানদের হিংস্র যুদ্ধের ইতিহাস","ড. রাগিব সারজানি","","TK. 740","TK. 555"
﻿"বিকামিং","মিশেল ওবামা","","TK. 600","TK. 450"
﻿"কিশোর মুসা রবিনঃ রুদ্র সাগর","রকিব হাসান","","TK. 38","TK. 29"
﻿"ভাসানীর কথা","আজাদ খান ভাসানী","","TK. 300","TK. 225"
﻿"মনোভূমি","সাবিহা বিনতে রইস","","TK. 340","TK. 255"
﻿"মহানবীর (সা.) বাণী","স্যার আব্দুল্লাহ সোহরাওয়ার্দি","","TK. 320","TK. 240"
﻿"খুদে রহস্য-গল্প: মিকি মাউজ আর তার বন্ধুরা","গ্রেস ম্যাক্কারোন","","TK. 75","TK. 56"
